ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a County based table with the following filters applied: State(s) (All Years): NORTH CAROLINA

County Name,County Number [Public School] 2018-19,Total Number of Public Schools [Public School] 2018-19,Total Number of Public Schools [Public School] 2017-18,Total Number of Public Schools [Public School] 2016-17,Total Number of Public Schools [Public School] 2015-16,Total Number of Public Schools [Public School] 2014-15,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2016-17,American Indian/Alaska Native Students [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2014-15,Hispanic Students [Public School] 2018-19,Hispanic Students [Public School] 2017-18,Hispanic Students [Public School] 2016-17,Hispanic Students [Public School] 2015-16,Hispanic Students [Public School] 2014-15,Black Students [Public School] 2018-19,Black Students [Public School] 2017-18,Black Students [Public School] 2016-17,Black Students [Public School] 2015-16,Black Students [Public School] 2014-15,White Students [Public School] 2018-19,White Students [Public School] 2017-18,White Students [Public School] 2016-17,White Students [Public School] 2015-16,White Students [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,Two or More Races Students [Public School] 2018-19,Two or More Races Students [Public School] 2017-18,Two or More Races Students [Public School] 2016-17,Two or More Races Students [Public School] 2015-16,Two or More Races Students [Public School] 2014-15,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2017-18,Total Race/Ethnicity [Public School] 2016-17,Total Race/Ethnicity [Public School] 2015-16,Total Race/Ethnicity [Public School] 2014-15
Edgecombe County NC  ,37065,19,19,19,19,22,7670,7699,7799,7885,7887,72,73,79,93,120,6,8,10,9,9,21,14,14,14,16,791,771,770,727,725,5067,5059,5162,5276,5357,2203,2311,2350,2432,2509,5,6,3,3,5,254,212,185,152,144,8347,8381,†,8613,8765
Forsyth County NC  ,37067,86,86,85,84,85,33815,34020,32776,32171,30114,1632,1758,1946,2030,2301,98,112,123,135,144,1441,1453,1437,1333,1261,15549,15309,14859,14007,13354,16879,16928,16782,16740,16703,21480,22029,22528,22510,22964,81,79,72,57,59,2508,2387,2321,2230,2123,58036,58297,†,57012,56608
Franklin County NC  ,37069,18,18,18,18,17,4352,5391,5813,5863,5980,678,417,340,350,364,33,31,36,40,35,53,52,58,45,41,1709,1631,1585,1465,1408,2567,2574,2608,2666,2723,4042,4092,4251,4329,4405,8,7,5,7,6,388,338,304,305,278,8800,8725,†,8857,8896
Gaston County NC  ,37071,58,57,57,58,58,18674,19000,19247,19905,19412,1472,1505,1591,1493,1536,73,72,80,82,75,519,525,517,510,521,4685,4478,4207,3968,3691,7722,7647,7536,7372,7174,19564,20382,20794,21242,21515,29,27,17,24,24,1719,1623,1577,1447,1356,34311,34754,†,34645,34356
Gates County NC  ,37073,5,5,5,5,5,731,718,849,750,738,118,112,68,143,177,7,6,7,8,8,1,4,1,1,1,46,30,32,30,25,493,518,547,569,610,1044,1037,961,975,987,1,1,1,1,2,99,89,74,71,58,1691,1685,†,1655,1691
Graham County NC  ,37075,3,3,3,3,3,561,597,665,624,654,167,142,133,129,134,189,199,204,196,192,5,5,5,4,1,43,45,42,41,46,6,3,3,3,5,916,932,978,973,983,="0",="0",="0",="0",="0",10,12,11,8,9,1169,1196,†,1225,1236
Granville County NC  ,37077,22,22,21,24,23,4047,3906,4388,4056,4104,507,604,526,654,688,23,24,22,26,26,56,62,70,63,54,1562,1450,1373,1323,1219,2733,2762,2761,2806,2819,4301,4330,4327,4300,4301,3,4,5,5,4,364,354,322,328,325,9042,8986,†,8851,8748
Greene County NC  ,37079,6,6,6,6,6,2899,3030,3063,2209,2200,="0",="0",="0",172,179,6,10,10,8,13,5,5,5,4,5,924,950,976,979,933,1076,1118,1149,1194,1217,844,926,936,943,963,="0",="0",="0",="0",1,62,58,54,46,49,2917,3067,†,3174,3181
Guilford County NC  ,37081,136,136,135,134,133,47488,45509,46217,46258,45963,2546,2798,2815,2694,2843,323,331,344,351,399,5288,5121,4955,4716,4572,12652,12158,11687,10933,10341,32845,32481,32187,31904,31889,25598,26323,26909,27422,27837,114,124,121,130,146,3492,3342,3184,3052,2941,80312,79880,†,78508,78125
Halifax County NC  ,37083,21,20,19,20,20,5371,5426,5571,5535,5704,239,176,138,139,206,181,184,189,178,190,61,64,65,71,69,353,364,336,282,271,4038,4208,4198,4221,4448,1898,1932,1950,2003,2110,19,16,15,8,11,189,181,134,143,123,6739,6949,†,6906,7222
Harnett County NC  ,37085,30,30,30,29,29,11107,10539,10981,10384,10063,1157,1551,1428,1827,1861,158,183,197,203,230,141,146,153,159,137,4533,4312,4192,4010,3893,5016,5088,5138,5099,5114,9568,9846,10009,10184,10193,60,53,60,62,58,1342,1302,1266,1203,1065,20818,20930,†,20920,20690
Haywood County NC  ,37087,16,16,16,17,16,3894,3742,3802,3497,3683,404,437,460,615,407,46,50,59,65,62,55,54,48,50,43,629,622,622,683,572,93,96,89,84,81,6588,6665,6644,7494,6544,10,10,8,8,5,205,199,172,174,138,7626,7696,†,8558,7445
Henderson County NC  ,37089,25,25,25,24,24,5854,5988,6295,6373,6516,1051,1113,1102,1168,1073,30,22,21,19,23,185,194,174,169,164,3379,3312,3233,3198,3021,527,556,559,567,516,9076,9211,9263,9321,9621,79,85,75,66,66,578,565,564,551,513,13854,13945,†,13891,13924
Hertford County NC  ,37091,7,7,7,7,7,2840,2899,2964,3044,3067,="0",="0",1,="0",="0",23,21,21,24,22,28,31,26,23,23,117,119,119,111,94,2262,2296,2339,2423,2439,368,393,435,442,475,16,11,9,2,3,51,58,55,52,50,2865,2929,†,3077,3106
Hoke County NC  ,37093,14,14,14,13,13,6478,5605,6032,5509,5312,261,506,311,439,429,751,793,812,761,758,81,81,77,70,83,2072,1979,1898,1741,1625,3067,3074,3032,2950,2959,2283,2332,2260,2138,2197,33,34,20,16,14,739,653,573,482,460,9026,8946,†,8158,8096
Hyde County NC  ,37095,3,3,3,3,3,533,456,475,608,442,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",131,130,124,122,107,133,133,126,143,147,331,342,358,332,333,="0",="0",="0",="0",2,11,11,16,22,20,606,616,†,619,609
Iredell County NC  ,37097,50,49,50,48,48,9213,9347,9778,9720,9621,1658,1706,1774,1975,2021,57,77,74,56,56,898,881,869,863,887,3904,3701,3565,3423,3258,4234,4163,4158,4160,4130,20786,21102,21114,20956,21102,33,27,33,32,34,1441,1323,1229,1035,903,31353,31274,†,30525,30370
Jackson County NC  ,37099,11,11,11,10,10,2044,2072,2180,2190,1845,248,239,269,272,381,255,268,284,295,292,54,58,61,55,54,608,590,551,489,457,57,52,59,59,60,2847,2928,2930,2918,2952,2,5,5,6,6,128,128,118,102,88,3951,4029,†,3924,3909
Johnston County NC  ,37101,47,48,49,45,45,15034,13732,14990,14101,14263,1164,1599,1624,1821,1882,126,133,131,140,148,311,293,242,257,247,9233,8695,8218,7771,7473,6064,5996,5754,5664,5544,20879,20748,20697,20715,20762,36,38,36,27,35,1613,1296,1228,1153,1106,38262,37199,†,35727,35315
Jones County NC  ,37103,7,6,6,6,6,1084,1116,1149,1150,1182,="0",="0",="0",="0",="0",="0",2,2,1,2,1,1,3,4,5,128,112,108,117,119,403,423,467,464,480,524,561,563,544,573,="0",2,1,="0",1,66,45,38,40,31,1122,1146,†,1170,1211
Lee County NC  ,37105,18,16,16,16,16,6225,5718,6464,6129,5999,519,805,524,680,758,54,61,66,71,69,77,76,83,83,83,3720,3641,3532,3462,3373,2109,2116,2155,2191,2157,3854,3885,4014,4100,4251,5,6,6,5,10,405,383,354,319,310,10224,10168,†,10231,10253
Lenoir County NC  ,37107,18,18,18,18,18,8731,8815,8898,9177,9297,="0",="0",="0",3,11,11,14,13,17,17,76,71,61,58,74,1222,1214,1215,1176,1130,4199,4265,4368,4479,4587,3001,3102,3140,3317,3464,9,7,6,6,7,297,269,243,210,198,8815,8942,†,9263,9477
Lincoln County NC  ,37109,25,25,25,25,25,4601,4639,4933,5050,5034,697,742,828,896,991,19,16,12,19,19,116,110,110,106,103,1536,1453,1442,1411,1381,784,774,781,795,780,10634,10574,10640,10752,10878,5,6,7,7,8,608,581,521,458,376,13702,13514,†,13548,13545
Macon County NC  ,37113,11,11,11,11,11,2183,2198,2377,2398,2339,470,445,443,473,481,14,13,17,19,21,33,37,37,42,41,840,838,817,760,704,29,27,35,36,31,3453,3383,3375,3468,3533,2,1,4,4,6,108,102,99,96,104,4479,4401,†,4425,4440
Madison County NC  ,37115,7,6,6,7,7,956,981,1041,1028,1066,189,174,193,179,200,6,5,2,3,7,8,10,10,9,9,95,94,97,87,80,6,5,7,9,12,2112,2134,2187,2284,2350,1,1,2,1,1,44,34,26,24,30,2272,2283,†,2417,2489
