,State,Adopted Over Waiting for Adoption 2010,Parental Rights Terminated Over Waiting For Adoption 2010,Adopted Over Waiting for Adoption 2011,Parental Rights Terminated Over Waiting For Adoption 2011,Adopted Over Waiting for Adoption 2012,Parental Rights Terminated Over Waiting For Adoption 2012,Adopted Over Waiting for Adoption 2013,Parental Rights Terminated Over Waiting For Adoption 2013,Adopted Over Waiting for Adoption 2014,Parental Rights Terminated Over Waiting For Adoption 2014,Adopted Over Waiting for Adoption 2015,Parental Rights Terminated Over Waiting For Adoption 2015,Adopted Over Waiting for Adoption 2016,Parental Rights Terminated Over Waiting For Adoption 2016,Adopted Over Waiting for Adoption 2017,Parental Rights Terminated Over Waiting For Adoption 2017,Adopted Over Waiting for Adoption 2018,Parental Rights Terminated Over Waiting For Adoption 2018,Adopted Over Waiting for Adoption 2019,Parental Rights Terminated Over Waiting For Adoption 2019
20,Maryland,0.7293318233295584,0.26727066817667045,0.6981865284974094,0.3082901554404145,0.813953488372093,0.29338103756708406,0.7128514056224899,0.29116465863453816,0.7413793103448276,0.27801724137931033,0.5787401574803149,0.297244094488189,0.7713675213675214,0.34615384615384615,0.7234927234927235,0.3305613305613306,0.9168831168831169,0.38181818181818183,0.7864864864864864,0.3837837837837838
21,Massachusetts,0.2628716461203771,0.5503988397389412,0.27065420560747666,0.5588785046728972,0.30538679627379506,0.5382746051032807,0.32062600321027285,0.4518459069020867,0.2125586430891375,0.425117286178275,0.20419534578826615,0.3995411340544084,0.1921861534041942,0.359379488652686,0.17970459518599563,0.39031728665207877,0.244234180958013,0.4940863394441159,0.2737246297312123,0.4722984092155787
22,Michigan,0.49608404966571157,0.8246418338108883,0.5914562190228936,0.852725985367005,0.7136084774121584,0.8731176798661461,0.7114174408151034,0.8447707521726101,0.631761643043101,0.8845820075209719,0.5199530516431925,0.9151995305164319,0.6083138173302107,0.9025175644028103,0.5403181568842568,0.8831596269884805,0.5107747562852745,0.8694202154951257,0.5660031430068099,0.8837087480356207
23,Minnesota,0.5837988826815642,0.9338919925512105,0.5004374453193351,0.8407699037620298,0.436607892527288,0.8463476070528967,0.4782608695652174,0.9105824446267432,0.5404040404040404,0.9478114478114478,0.5719844357976653,0.953307392996109,0.5833874107722258,0.945489941596366,0.47537688442211057,0.928643216080402,0.633761105626851,0.914116485686081,0.690415171706817,0.9287544848795489
24,Mississippi,0.4211150652431791,0.534994068801898,0.4068181818181818,0.5215909090909091,0.44502617801047123,0.406282722513089,0.352,0.353,0.2652027027027027,0.30067567567567566,0.21711899791231734,0.28670842032011135,0.25756600128783,0.2865421764327109,0.19496518478843064,0.08248527048741296,0.2491329479768786,0.05953757225433526,0.446583850931677,0.32236024844720496
25,Missouri,0.5873493975903614,0.5060240963855421,0.5894941634241245,0.47470817120622566,0.5940977261731979,0.413159167876149,0.5703052728954672,0.3987049028677151,0.5552688172043011,0.3286021505376344,0.5399920413847991,0.27775567051333067,0.6157120743034056,0.29566563467492263,0.5454867256637168,0.2973451327433628,0.6460653970535394,0.31045634207689543,0.663023679417122,0.32604735883424407
26,Montana,0.38585858585858585,0.7070707070707071,0.5173913043478261,0.6826086956521739,0.5583126550868487,0.7245657568238213,0.3313253012048193,0.7409638554216867,0.3986371379897785,0.7614991482112436,0.5344827586206896,0.6637931034482759,0.4107424960505529,0.693522906793049,0.3297232250300842,0.6690734055354994,0.4053224155578301,0.7031729785056294,0.47347740667976423,0.6601178781925344
27,Nebraska,0.5690104166666666,0.5989583333333334,0.4969915764139591,0.5848375451263538,0.461283185840708,0.6139380530973452,0.8312056737588652,0.577304964539007,0.6661849710982659,0.6690751445086706,0.7517630465444288,0.6417489421720733,0.6755244755244755,0.6475524475524476,0.708171206225681,0.5849546044098574,0.6903304773561811,0.6083231334149327,0.8127721335268505,0.6574746008708273
28,Nevada,0.30754536771728747,0.5191021967526266,0.416751269035533,0.4761421319796954,0.4127659574468085,0.45691489361702126,0.372508942258559,0.3684210526315789,0.35268505079825835,0.33430091920657956,0.3996998499249625,0.3476738369184592,0.4916615194564546,0.42742433600988267,0.44258373205741625,0.45215311004784686,0.4567307692307692,0.46814903846153844,0.4829034193161368,0.5308938212357528
29,New Hampshire,0.762114537444934,0.28193832599118945,0.8622754491017964,0.1497005988023952,0.5274725274725275,0.11538461538461539,0.582010582010582,0.1111111111111111,0.718562874251497,0.23952095808383234,0.6666666666666666,0.4293785310734463,0.5178571428571429,0.4642857142857143,0.5046728971962616,0.5093457943925234,0.7814814814814814,0.6666666666666666,1.098814229249012,0.49407114624505927
30,New Jersey,0.5174512987012987,0.393262987012987,0.474716652136007,0.3003487358326068,0.4593623709025595,0.33048944768747196,0.3794514940646746,0.31191158411788783,0.3949093713844967,0.33513305052063247,0.3973313565604151,0.3554484803558191,0.4616283599532528,0.3856641994546163,0.4461476401774909,0.3884630899556273,0.46493162770180857,0.4402293780326423,0.6131926121372032,0.4179419525065963
31,New Mexico,0.5405405405405406,0.5971685971685972,0.44656488549618323,0.5610687022900763,0.4136690647482014,0.49280575539568344,0.3522727272727273,0.5886363636363636,0.3181818181818182,0.5282828282828282,0.2601410934744268,0.4470899470899471,0.24228028503562946,0.42042755344418054,0.21839887640449437,0.5702247191011236,0.24647302904564317,0.4954356846473029,0.2814070351758794,0.5201005025125628
